title;genres;bpm;length;gain;rank;publicationDate;genres_1;genres_2;genres_3;genres_4;genres_5;genres_6;genres_7;key;year
Euphoria;;128;260;-7.3;307008;08-06-2012;;;;;;;;;2012
Brown Eyed Girl;Rock music;149;183;-11.1;307095;07-03-2008;British rhythm and blues;;;;;;;;2008
Shine;Pop music;91.1;236;-10.7;307100;01-01-2000;;;;;;;;Emaj;2000
Miss Meri;Indie rock;157.8;198;-8.4;307171;24-09-2007;Lo-fi music;;;;;;;Bmin;2007
Ball Of Fire;Rock music;153;187;-14.5;307248;04-06-2002;;;;;;;;;2002
Tommy James And The Shondells:Ball Of Fire;Rock music;153;187;-14.5;307248;04-06-2002;;;;;;;;;2002
Holly Holy;Rock music;99;215;-10.9;307312;20-10-1998;Popular music;;;;;;;;1998
Runnin' With The Devil;Traditional heavy metal;95;216;-8.3;307399;14-05-2007;;;;;;;;;2007
Sleeps With Butterflies;Baroque pop;149.8;215;-11.8;307475;07-11-2005;;;;;;;;;2005
Silent All These Years;Pop rock;127;249;-10.6;307489;17-11-2003;;;;;;;;;2003
Ti Amo;Adult contemporary music;186;242;-9.3;307523;10-09-2002;Pop music;;;;;;;Amaj;2002
I Will Follow;Post-punk;147;232;-9.8;307580;21-07-2008;Rock music;;;;;;;;2008
Talula;Baroque pop;169;248;-12.7;307619;18-11-2016;Alternative rock;Electronica;;;;;;;2016
Putting The Damage On;Baroque pop;107;310;-17.5;307619;21-06-2005;;;;;;;;;2005
Amazing Grace;;133;409;-17.1;307619;12-10-2016;;;;;;;;;2016
Sweet The Sting;Soul music;89.9;254;-12.4;307632;21-02-2005;Rock music;;;;;;;;2005
Dope Nose;Pop punk;128;136;-6.8;307639;07-05-2002;Power pop;;;;;;;;2002
Hey Whatever;Pop music;154;209;-7.5;307730;07-11-2003;;;;;;;;;2003
One Way To Rock;Hard rock;154;298;-10.9;307807;23-02-1993;;;;;;;;;1993
The Best Is Yet To Come;Traditional pop music;120.888;152;-19.3;307831;30-10-2006;Jazz;;;;;;;;2006
The Weight;Funk;142;270;-9.9;307898;23-06-2008;Folk rock;Soul music;Pop music;Roots rock;;;;;2008
Steppin' Out With My Baby;Jazz;104;122;-12.7;307980;22-10-2012;;;;;;;;;2012
Mofo;Techno;120;347;-8.8;307994;03-03-1997;Alternative rock;;;;;;;;1997
Redwood Tree;Rhythm and blues;121.243;185;-13.1;308120;28-08-2015;Folk rock;;;;;;;;2015
My Foolish Heart;;128;287;-16.2;308168;21-12-2010;;;;;;;;;2010
Streets Of Arklow;Folk rock;119.146;262;-12;308181;22-10-2007;;;;;;;;;2007
Madame George;Folk rock;132.512;523;-13.7;308208;28-08-2015;;;;;;;;;2015
Crocodile;;124;390;-12.5;308209;14-10-2007;;;;;;;;;2007
If You're Gonna Do Me Wrong (Do It Right);Country music;146;209;-13.3;308240;14-08-1990;;;;;;;;Emaj;1990
Moonshine Whiskey;Country rock;118;411;-13.2;308244;10-06-2016;Soul music;;;;;;;;2016
Ivory Tower;Folk rock;135.553;213;-10.7;308432;28-08-2015;Celtic music;;;;;;;;2015
Dreamin';Alternative rock;123;309;-9.2;308489;23-06-2008;;;;;;;;;2008
Spin;Dance-rock;99.9;186;-11.3;308654;24-02-2003;Soul music;;;;;;;Dbmaj;2003
If The World Had A Front Porch;Country music;162;184;-8.9;308670;18-10-2005;;;;;;;;Fmaj;2005
Climb Ev'ry Mountain;;93.1166;141;-10.4;308724;30-10-2006;;;;;;;;;2006
Ribbons Round My Tongue;Indie rock;89.9;306;-13.8;308765;24-09-2007;Lo-fi music;;;;;;;Emaj;2007
I Left My Heart In San Francisco;Traditional pop music;132;154;-14.3;308768;24-08-2006;;;;;;;;;2006
Night And Day;;111;215;-14.8;308798;30-10-2006;;;;;;;;;2006
You Make Me Feel So Free;Celtic music;102.336;193;-11;308808;27-06-2008;Folk rock;Pop rock;;;;;;;2008
You Really Got Me-Cabo Wabo;Heavy metal music;137;478;-11.6;308831;23-02-1993;Garage rock;Hard rock;;;;;;;1993
My Favorite Things;;93;173;-10.8;308959;17-11-2008;;;;;;;;;2008
Listen To The Lion;Folk rock;147.656;671;-17.8;308975;22-10-2007;Rhythm and blues;;;;;;;;2007
Crimson And Clover;Garage rock;169;332;-14;308980;15-03-2005;Acid rock;Psychedelic pop;Psychedelic rock;;;;;;2005
Precious Time;Rhythm and blues;131.668;228;-9.2;309010;28-01-2008;;;;;;;;;2008
Suffragette City;Hard rock;148;173;-9.1;309022;17-09-2007;Proto-punk;Glam rock;;;;;;Amaj;2007
Sneakernight;Dance-pop;103.9;181;-8.2;309049;08-02-2009;Jazz fusion;;;;;;;;2009
Cornflake Girl;Alternative rock;133;304;-9.8;309050;17-11-2003;Baroque pop;;;;;;;;2003
Turn Back The Hands Of Time;Soul music;118;159;-13.7;309148;04-05-2008;Rhythm and blues;;;;;;;;2008
The Many Ways;Contemporary R&B;153;343;-13;309184;16-06-2008;New jack swing;;;;;;;;2008
Did Ye Get Healed?;Folk rock;152.56;248;-11.2;309301;22-10-2007;Celtic music;;;;;;;;2007
John Barleycorn;;166;382;-13.6;309363;27-08-2007;;;;;;;;;2007
Black Sabbath (From The Satanic Perspective);Heavy metal music;94;464;-13.5;309414;19-08-1996;Doom metal;;;;;;;Amaj;1996
King Eternal;Art rock;134.7;268;-7.9;309518;07-06-2004;;;;;;;;;2004
The Hand That Held Me Down;Indie rock;135.6;332;-8.4;309524;24-09-2007;Lo-fi music;;;;;;;Dbmin;2007
Independent;Southern hip hop;173.7;213;-9.6;309544;01-06-2007;;;;;;;;;2007
Norwegian Wood;Folk rock;184.57;293;-11.5;309651;13-11-2012;Raga rock;;;;;;;;2012
Amsterdam;Hard rock;173;285;-8;309670;24-01-1995;;;;;;;;;1995
Troublemaker;Power pop;130;164;-11.1;309689;23-06-2008;;;;;;;;;2008
Coloured Rain;Psychedelic rock;92;163;-12.6;309753;28-10-2014;;;;;;;;Fmaj;2014
Bouncing Off Clouds;Alternative rock;124;248;-11.6;309894;01-05-2007;Baroque pop;;;;;;;;2007
The Shadow Of Your Smile;;144;272;-14.7;309969;01-01-1980;;;;;;;;;1980
Smile;;144;272;-14.7;309969;01-01-1980;;;;;;;;;1980
Seein' Red;Post-grunge;102;227;-8.9;309992;29-01-2002;Alternative rock;Power pop;;;;;;;2002
Fly Me To The Moon (In Other Words);Traditional pop music;133;176;-14.4;310120;24-08-2006;Bossa nova;;;;;;;;2006
Finish What Ya Started;Hard rock;125;263;-10.1;310165;14-05-2007;;;;;;;;;2007
You Keep Me Hangin' On;Soul music;170;179;-12.5;310177;30-11-2004;Hi-NRG;Acid rock;Country music;New wave music;Hard rock;Psychedelic rock;Pop music;;2004
Have You Ever;;133.8;269;-8.6;310260;02-11-2007;;;;;;;;;2007
Red Roses For A Blue Lady;;109;170;-12.8;310469;19-03-2010;;;;;;;;Gbmaj;2010
Lonely Avenue;Rhythm and blues;115.485;385;-12;310505;28-08-2015;;;;;;;;;2015
Star Of Wonder;;137;230;-11.2;310683;06-11-2009;;;;;;;;;2009
Rauch-Haus-Song;;129.604;219;-12.3;310751;17-11-1972;;;;;;;;;1972
Professional Widow;Alternative rock;127.999;226;-12.1;310751;21-06-2005;Speed garage;;;;;;;;2005
Love Walks In;Rock music;174;311;-8.6;310832;14-05-2007;;;;;;;;;2007
I Left My Heart In San Francisco;Traditional pop music;129.2;171;-15.5;310835;01-06-2014;;;;;;;;;2014
Wonderful Remark;Classic rock;100.106;481;-14.2;310844;28-08-2015;;;;;;;;;2015
Moondance;Smooth jazz;83.5227;439;-13.6;310861;28-08-2015;Rock music;Soft rock;;;;;;;2015
My Name Is Jonas;Alternative rock;186;203;-7.8;310881;23-03-2004;Power pop;;;;;;;;2004
The Unforgettable Fire;Rock music;136;295;-11.3;310914;25-03-2009;Post-punk;;;;;;;;2009
Candida;;127;183;-14.6;310969;22-04-2008;;;;;;;;;2008
Cinnamon Girl;Hard rock;98;235;-9.2;311039;19-08-1996;;;;;;;;Fmaj;1996
Suffragette City;Hard rock;144.1;205;-6.6;311082;24-07-2006;Proto-punk;Glam rock;;;;;;;2006
Dear God;Alternative rock;181;227;-10.4;311113;29-01-2008;Baroque pop;;;;;;;;2008
Fire;Rock music;151;225;-11;311120;21-07-2008;Post-punk;;;;;;;;2008
Spanish Fly;Flamenco;163;61;-17.6;311135;18-09-2009;Instrumental rock;;;;;;;;2009
Bedtime;Contemporary R&B;159;285;-12.4;311155;19-04-2004;;;;;;;;;2004
One Silver Dollar;;120;180;-19.3;311176;08-10-1988;;;;;;;;;1988
Bomb Yourself;Art rock;130;332;-10.4;311303;07-06-2004;;;;;;;;;2004
O Christmas Tree;;108;207;-16.1;311352;17-11-2008;;;;;;;;;2008
Bulbs;Folk rock;177.441;258;-9.6;311378;30-06-2008;;;;;;;;;2008
House Of The Rising Sun;;117;211;-12.9;311397;12-09-1997;;;;;;;;;1997
Big Bad Bill (Is Sweet William Now);;100;164;-10.5;311426;01-01-1982;;;;;;;;;1982
Let It Flow;;168;249;-10.7;311484;05-01-2007;;;;;;;;;2007
Irish Heartbeat;Celtic music;149.255;281;-8.8;311589;27-06-2008;;;;;;;;;2008
Enjoy The Silence;Synthpop;161;249;-15.9;311635;17-09-2001;Dance-pop;;;;;;;;2001
Silver Bells;;131;195;-13.8;311709;17-11-2008;;;;;;;;;2008
Passengers:Miss Sarajevo;Rock music;104;340;-13.8;311710;30-05-2005;Opera;;;;;;;Abmin;2005
A Day Without Me;Post-punk;155;193;-11;311759;21-07-2008;Rock music;;;;;;;;2008
Help Me;Blues;166.709;369;-12.8;311898;27-06-2008;;;;;;;;;2008
(Is This The Way To) Amarillo;Pop music;134;190;-8.7;311944;28-02-2008;;;;;;;;Amaj;2008
Runaround;;130;260;-8.2;311948;14-05-2007;;;;;;;;;2007
Save The Best For Last;;95;219;-13.6;312076;04-02-2008;;;;;;;;;2008
Summer Of '69;Hard rock;139.2;229;-9.6;312086;29-05-2008;Rock music;;;;;;;;2008
There Stands The Glass;Country music;111.7;135;-15.5;312092;01-07-2009;;;;;;;;Ebmin;2009
Believe Me Baby (I Lied);Country music;120;222;-10;312102;11-09-2007;;;;;;;;Bmin;2007
In The Garden;Celtic music;100.838;582;-12.9;312107;27-06-2008;Folk rock;Jazz;;;;;;;2008
Dirty Day;Alternative rock;102;324;-18.5;312132;05-07-1993;;;;;;;;;1993
After Hours;Indie rock;160.2;232;-7.1;312132;23-09-2008;;;;;;;;Emaj;2008
Come On Come In;Hard rock;136;239;-10.7;312169;05-10-2009;;;;;;;;D;2009
Come Saturday Morning;Pop music;130;264;-16.7;312220;29-08-1995;;;;;;;;;1995
The Low Spark Of High Heeled Boys;Jazz fusion;106;704;-10.5;312249;08-10-2001;Progressive rock;;;;;;;Bmin;2001
Paper Sun;Psychedelic pop;133;213;-11.8;312318;25-10-1999;;;;;;;;Fmaj;1999
Reflections Of The Marionette;Indie rock;117.8;342;-9.6;312356;24-09-2007;Lo-fi music;;;;;;;Gbmin;2007
Santa Claus Is Coming To Town;;132;172;-10.8;312377;17-11-2008;;;;;;;;;2008
Cyprus Avenue;Folk rock;132.938;359;-14.2;312404;28-08-2015;;;;;;;;;2015
And The Cradle Will Rock...;Hard rock;107;212;-8.1;312405;14-05-2007;;;;;;;;;2007
Bed Of Nails;Glam metal;145.1;217;-7.2;312407;23-09-2011;Heavy metal music;;;;;;;;2011
Anna;Rocksong;148;280;-15.8;312410;01-01-1996;;;;;;;;;1996
Ticket To Ride;Folk rock;93;356;-10.6;312506;23-08-2005;Power pop;;;;;;;;2005
Orangefield;Celtic music;164.062;232;-12;312532;28-01-2008;;;;;;;;;2008
Till;;84.2032;176;-11.4;312546;07-10-1997;;;;;;;;;1997
Caught A Lite Sneeze;Alternative rock;158;264;-11.7;312659;18-12-2006;Baroque pop;;;;;;;;2006
The Christmas Song;Pop music;110;197;-16.9;312710;07-12-2010;Jazz;Christmas music;;;;;;;2010
Sting & Tony Bennett:Boulevard Of Broken Dreams;;149;201;-14.6;312857;01-01-1980;;;;;;;;;1980
I'm Not In Love;Soft rock;136;339;-16.2;312871;17-09-2001;Trip hop;;;;;;;;2001
Be Thou My Vision;Hymn;106.3;231;-12.2;312889;28-08-2015;;;;;;;;;2015
Stra (Illusions Of My Childhood-Part One) - You Keep Me Hanging On - Wber (Illusions Of My Childhood-Part Two);Soul music;172;445;-14.9;312932;23-08-2005;Hi-NRG;Acid rock;Country music;New wave music;Hard rock;Psychedelic rock;Pop music;;2005
Rags To Riches;;123;83;-17.5;312938;24-08-2006;;;;;;;;;2006
Jump;Arena rock;130;348;-8.6;312987;24-03-2015;Pop rock;Electronic rock;;;;;;;2015
The Deader;Indie rock;167.4;295;-9.2;313036;24-09-2007;Lo-fi music;;;;;;;Cmaj;2007
Nice & Slow;Pop music;134;243;-11.7;313114;01-01-1999;Contemporary R&B;Soul music;;;;;;;1999
You Make Me Wanna...;;123;405;-10.8;313146;01-01-1999;;;;;;;;;1999
Ramble On;Hard rock;98.9;269;-9.6;313155;31-08-2009;Folk rock;;;;;;;;2009
Professional Widow;Alternative rock;138;271;-10.8;313192;13-12-2010;Speed garage;;;;;;;;2010
Window In The Skies;Rock music;91;239;-9.6;313238;08-01-2007;;;;;;;;;2007
The Hustle;Disco;111;242;-16.8;313365;19-11-2007;;;;;;;;;2007
Staring At The Sun;Indie rock;119.837;241;-9.5;313387;06-08-2007;;;;;;;;;2007
Wavelength;Pop rock;148.7;365;-12.8;313399;28-01-2008;;;;;;;;;2008
The Best Is Yet To Come;Traditional pop music;132;219;-12.9;313476;01-01-1980;Jazz;;;;;;;;1980
Walk On By;Pop music;102.6;185;-12.6;313501;01-03-2011;Soul music;Funk;;;;;;;2011
Gloria;Proto-punk;132.1;319;-11.5;313579;28-08-2015;Garage rock;Punk rock;;;;;;;2015
Carrickfergus;;87;265;-15.5;313633;28-08-2015;;;;;;;;;2015
My Kind Of Woman-My Kind Of Man;Country music;86;235;-12.6;313665;01-01-1998;;;;;;;;Fmaj;1998
Little Guitars (Intro);Hard rock;137;42;-14.5;313733;01-01-1982;;;;;;;;;1982
Drinkin' Bone;Country music;110;132;-9.1;313745;05-03-2005;;;;;;;;Fmaj;2005
Little Green Apples;Rhythm and blues;144;238;-15.9;313765;26-02-2007;Soul music;;;;;;;Cmaj;2007
Silent All These Years;Pop rock;118;273;-15.2;313787;07-01-2015;;;;;;;;;2015
In The Air;Electro house;128;196;-9.5;313827;15-10-2014;;;;;;;;;2014
Who's Making Love;Memphis soul;117;192;-11.3;313874;26-02-2007;;;;;;;;Emin;2007
Crystal Blue Persuasion;Blue-eyed soul;99.9;241;-12.7;313883;28-10-2008;;;;;;;;;2008
Tommy James And The Shondells:Crystal Blue Persuasion;Blue-eyed soul;99.9;241;-12.7;313883;28-10-2008;;;;;;;;;2008
I Will Be There;Jazz;135.1;151;-10.4;313926;28-08-2015;;;;;;;;;2015
Make It Nasty;Hip hop music;195;186;-20;314005;;;;;;;;;;
Rainy Night In Georgia;Soul music;170;214;-15.2;314015;20-12-2005;Rhythm and blues;;;;;;;Dmaj;2005
If The World Had A Front Porch;Country music;162;185;-13.3;314058;26-09-2006;;;;;;;;Fmaj;2006
Blue Money;Rhythm and blues;154;228;-19.4;314085;30-06-1975;;;;;;;;;1975
Dance The Night Away;Hard rock;129;188;-8.6;314092;14-05-2007;;;;;;;;;2007
Finish What Ya Started;Hard rock;127;350;-11.6;314116;23-02-1993;;;;;;;;;1993
Sometimes We Cry;Folk rock;145.6;314;-17;314198;30-06-2008;;;;;;;;;2008
Emmanuel;;128;179;-10.9;314243;06-11-2009;;;;;;;;;2009
I Can Tell By The Way You Dance (You're Gonna Love Me Tonight);Country music;112;166;-12.9;314433;14-08-1990;;;;;;;;Ebmaj;1990
World Of Our Own;Pop music;97;211;-8.7;314469;14-10-2002;;;;;;;;;2002
Linus And Lucy;;157;576;-15.6;314501;16-08-2014;;;;;;;;;2014
Lighthouse;Pop music;140.2;262;-8.7;314554;11-11-2011;Pop rock;;;;;;;;2011
Like Light To The Flies;Metalcore;106;340;-7.4;314573;07-03-2005;;;;;;;;Bbmaj;2005
Fly Me To The Moon (In Other Words);Traditional pop music;94.2;240;-13.1;314611;30-10-2006;Bossa nova;;;;;;;;2006
I'll Be Your Everything;Teen pop;144;247;-10.7;314633;02-04-2002;;;;;;;;Fmaj;2002
Putting The Damage On;Baroque pop;102;308;-12.8;314807;17-11-2003;;;;;;;;;2003
Turn Down For What;Trap music;99.9;221;-6.8;314873;17-11-2014;Electronic dance music;;;;;;;;2014
D?tura;Alternative rock;122;506;-13.7;314877;18-12-2006;Baroque pop;Electronic music;;;;;;;2006
Have Yourself A Merry Little Christmas;;106;274;-11.8;314923;17-11-2008;;;;;;;;;2008
Somewhere Over The Rainbow;;116;237;-12.8;314929;22-07-2005;;;;;;;;;2005
Fallen;Hard rock;156;342;-7.1;314944;25-11-2011;;;;;;;;Gmaj;2011
My Lagan Love;;106;320;-16;314967;28-08-2015;;;;;;;;;2015
Tore Down A La Rimbaud;Rock and roll;89.9;246;-11.1;314997;28-01-2008;Celtic music;;;;;;;;2008
I Just Want To Make Love To You;Blues rock;98;400;-9.1;315046;10-02-2016;Chicago blues;Hard rock;Rhythm and blues;;;;;;2016
Listen To The Lion;Folk rock;163;379;-8;315046;10-02-2016;Rhythm and blues;;;;;;;;2016
Cyprus Avenue;Folk rock;150;495;-13.8;315046;10-06-2016;;;;;;;;;2016
Enlightenment;Celtic music;108.2;244;-12.1;315046;30-06-2008;Folk rock;;;;;;;;2008
Why Must I Always Explain?;Folk rock;173;230;-12;315046;28-08-2015;Celtic music;;;;;;;;2015
Brown Eyed Girl (Alternate Take);Rock music;158.405;215;-15.4;315046;21-02-1991;British rhythm and blues;;;;;;;;1991
Midnight Special;;109.957;160;-16.1;315046;03-09-2009;;;;;;;;;2009
Rough God Goes Riding;Folk rock;131.7;374;-12.8;315046;22-10-2007;Rock music;;;;;;;;2007
I Think We're Alone Now;Power pop;129.6;130;-12.8;315154;28-10-2008;Bubblegum pop;Teen pop;Dance-pop;New wave music;Pop rock;Hardcore punk;Synthpop;;2008
Tommy James And The Shondells:I Think We're Alone Now;Power pop;129.6;130;-12.8;315154;28-10-2008;Bubblegum pop;Teen pop;Dance-pop;New wave music;Pop rock;Hardcore punk;Synthpop;;2008
Goin' Down Geneva;Blues;124.9;267;-10.6;315227;28-08-2015;;;;;;;;;2015
Hold The Line;Hard rock;98;644;-12.9;315231;23-07-1993;Rock music;;;;;;;;1993
When Love Comes To Town;Blues rock;115;258;-11.6;315283;25-03-2009;;;;;;;;;2009
Tupelo Honey;Blue-eyed soul;166;242;-11.9;315372;27-06-2008;Folk rock;Soft rock;;;;;;;2008
Georgia On My Mind;Soul music;157.2;339;-14.7;315413;28-08-2015;Blues;Traditional pop music;Jazz;;;;;;2015
Da Da Da I Don't Love You You Don't Love Me Aha Aha Aha;Neue Deutsche Welle;131;199;-17.3;315476;30-10-2002;;;;;;;;;2002
Queen Of The Slipstream;Celtic music;144.1;297;-10.4;315536;22-10-2007;Folk rock;;;;;;;;2007
Raspberry Swirl;Electronic dance music;128;221;-8.9;315552;16-12-2008;;;;;;;;;2008
Gracias A La Vida;Pop music;107;275;-10.2;315607;04-05-2010;;;;;;;;Gmaj;2010
If You Could Read My Mind;Dance-pop;122.3;723;-12.7;315652;14-12-2010;Pop-folk;;;;;;;Gmaj;2010
Choppin' Wood;Celtic rock;113;211;-9.5;315716;28-08-2015;;;;;;;;;2015
Sweet Cherry Wine;Psychedelic rock;106.8;260;-10.1;315784;28-10-2008;;;;;;;;;2008
Tommy James And The Shondells:Sweet Cherry Wine;Psychedelic rock;106.8;260;-10.1;315784;28-10-2008;;;;;;;;;2008
Good Morning Little Schoolgirl;Blues;157.2;247;-10.4;315811;28-08-2015;;;;;;;;;2015
Young And Foolish;;138;285;-14.3;315884;28-12-2010;;;;;;;;;2010
On The Sunny Side Of The Street;;108;175;-12.5;315929;16-09-2011;;;;;;;;;2011
Moonglow;;110;272;-11.7;315966;05-02-2010;;;;;;;;;2010
Justin Bieber:The Christmas Song (Chestnuts Roasting On an Open Fire);Pop music;103;215;-12.3;315989;01-11-2011;Jazz;Christmas music;;;;;;;2011
Perfect;Soul music;109;286;-7.9;315990;24-05-2008;Rock music;;;;;;;Gbmaj;2008
Time After Time;Jazz;160;212;-16;316025;30-10-2006;;;;;;;;;2006
What About Us;Contemporary R&B;178;151;-10.7;316027;12-10-2014;Rapping;;;;;;;;2014
Professional Widow;Alternative rock;107;243;-13.6;316082;18-12-2006;Speed garage;;;;;;;;2006
My Way;Contemporary R&B;93;217;-14.4;316118;01-01-1999;;;;;;;;;1999
Dancing Choose;Art rock;102.8;176;-7.3;316179;21-09-2008;Alternative rock;Indie rock;;;;;;;2008
Brand New Day;Country rock;132;68;-15.3;316215;18-10-2013;Rhythm and blues;;;;;;;;2013
It's All In The Game;Pop music;105.5;160;-15.2;316216;25-08-2002;;;;;;;;;2002
Freedom;Pop music;133.4;320;-9;316217;13-11-2006;;;;;;;;;2006
The Electric Co.;Rock music;163;278;-11.5;316238;29-09-2008;Post-punk;;;;;;;;2008
Girl Talk;;108;191;-13.9;316257;18-08-1997;;;;;;;;;1997
Bring It On Home To Me;Rock music;145;282;-13.6;316346;28-08-2015;Country music;Blues;Soul music;Rhythm and blues;Pop music;;;;2015
Crying;Art rock;113.9;251;-9;316434;21-09-2008;Alternative rock;Indie rock;;;;;;;2008
Holdin' Heaven;Country music;189.7;151;-12.7;316512;20-11-2001;;;;;;;;Fmaj;2001
Bad Boys;Post-disco;119;200;-12.2;316622;03-09-2001;;;;;;;;;2001
867-5309-Jenny;Power pop;137;224;-11.1;316748;28-09-2009;Jangle pop;Pop rock;;;;;;Emin;2009
MLK;Ambient music;134;154;-18.3;316764;14-07-2009;;;;;;;;;2009
The Way Young Lovers Do;Folk rock;190;197;-15.7;316831;01-11-1968;Blue-eyed soul;Jazz;;;;;;;1968
Seein' Red;Post-grunge;102.8;228;-8.2;316855;21-04-2009;Alternative rock;Power pop;;;;;;;2009
Do Something To Me;Rock music;120;151;-14.2;316871;08-01-1990;;;;;;;;;1990
Tommy James And The Shondells:Do Something To Me;Rock music;120;151;-14.2;316871;08-01-1990;;;;;;;;;1990
Taxi Ride;Alternative rock;166;240;-9;316954;01-01-2001;Folk rock;;;;;;;;2001
Dancing Lasha Tumbai;Dance music;144;191;-8.2;316969;06-07-2007;;;;;;;;;2007
Can U Get Wit It;Slow jam;124;295;-13.2;317013;30-08-1994;Hip hop soul;;;;;;;;1994
But Beautiful;;130;216;-13.9;317027;07-10-1997;;;;;;;;;1997
Madame George;Folk rock;153;317;-15.4;317066;03-09-2009;;;;;;;;;2009
Hands On Me;Pop rock;122;180;-9.9;317111;09-10-2007;;;;;;;;Dmin;2007
Gone;Alternative rock;175;276;-8.4;317339;31-10-2002;;;;;;;;;2002
Gotta Get Back To You;Rock music;148;185;-13.7;317447;08-01-1990;;;;;;;;;1990
Tommy James And The Shondells:Gotta Get Back To You;Rock music;148;185;-13.7;317447;08-01-1990;;;;;;;;;1990
T.B. Sheets;Rock music;86;577;-18.2;317457;21-02-1991;;;;;;;;;1991
Glad Tidings;Jazz;150;238;-15.1;317474;18-10-2013;Rhythm and blues;;;;;;;;2013
Lady;Lo-fi music;123;342;-10.4;317482;19-06-2007;Indie rock;;;;;;;Emin;2007
The Best Is Yet To Come;Traditional pop music;120.2;147;-12.3;317494;04-09-2006;Jazz;;;;;;;;2006
El Scorcho;Emo;146;247;-10.1;317512;02-11-2010;Power pop;Alternative rock;;;;;;;2010
Madame George;Folk rock;150;318;-21.7;317565;16-10-2006;;;;;;;;;2006
Speak Low;;114;190;-20.4;317588;14-11-2016;;;;;;;;;2016
Winter Wonderland;Pop music;115;131;-10.3;317591;30-11-2007;Christmas music;;;;;;;;2007
Tommy James And The Shondells:Hanky Panky;Garage rock;125.3;177;-13.3;317657;28-10-2008;;;;;;;;;2008
Freedom;Pop music;132;302;-9.8;317663;06-02-1985;;;;;;;;;1985
I Wanna Be Around;;103;131;-16.5;317711;30-10-2006;;;;;;;;;2006
In A Little While;Country rock;102;249;-6.7;317755;09-07-2002;;;;;;;;;2002
Another Day;Rock music;154;208;-15.3;317764;21-07-2008;Post-punk;;;;;;;;2008
Back On Top;Blues;113.9;261;-9.5;317806;28-01-2008;Rhythm and blues;;;;;;;;2008
Mony Mony;New wave music;130;168;-9.4;317835;28-10-2008;Power pop;Hard rock;Rock music;;;;;;2008
Beautiful Girls;Hard rock;100;237;-7.9;317947;14-05-2007;;;;;;;;;2007
When The Saints Go Marching In;;120.5;361;-18.9;317997;28-01-2008;;;;;;;;;2008
R�ndajad;Electropop;123.8;180;-9.3;318040;17-04-2009;;;;;;;;Fmaj;2009
Me And A Gun;A cappella;77;222;-18.3;318049;21-02-1992;;;;;;;;;1992
I Will;Folk rock;112;244;-17.4;318072;27-07-2009;;;;;;;;;2009
Still Got It;Hip hop music;95;223;-8.5;318113;04-10-2011;;;;;;;;;2011
Miss You;Pop music;156;232;-9.2;318113;22-04-2002;;;;;;;;;2002
The Very Thought Of You;;82;270;-15.2;318152;30-08-2010;;;;;;;;;2010
Just In Time;Pop music;136;136;-11;318199;22-10-2012;;;;;;;;;2012
A Gunshot To The Head Of Trepidation;Melodic metalcore;145;355;-7.4;318264;07-03-2005;;;;;;;;Dmin;2005
40;Post-punk;150;157;-11;318641;18-07-2008;Rock music;;;;;;;;2008
Who Can I Turn To (When Nobody Needs Me);;144;231;-12.8;321426;16-09-2011;;;;;;;;;2011
If I Let You Go;Teen pop;90;221;-9.3;321426;22-04-2002;;;;;;;;;2002
A Thousand Miles;Pop music;95;236;-9.9;322363;14-07-2009;;;;;;;;Emaj;2009
Famous Blue Raincoat;Folk music;135;339;-19.6;322460;30-08-1995;;;;;;;;;1995
Daddy's Gonna Pay For Your Crashed Car;Industrial rock;119;320;-15.7;323353;05-07-1993;Alternative rock;;;;;;;;1993
I'll Supply The Love;Hard rock;125;224;-11.8;323840;15-03-2008;Funk rock;;;;;;;;2008
Speak Low;;112;234;-14;324159;16-09-2011;;;;;;;;;2011
Angel Of Harlem;Heartland rock;102;230;-11.1;324370;25-03-2009;Soul music;;;;;;;;2009
Yahweh;Rock music;126;261;-6.4;325473;22-11-2004;;;;;;;;;2004
Numb;Trip hop;179;262;-10.6;326718;31-10-2002;Industrial rock;Alternative rock;;;;;;;2002
The Way You Look Tonight;Traditional pop music;119;233;-14.2;326811;16-09-2011;;;;;;;;;2011
All Because Of You;Alternative rock;133;219;-5.9;326811;22-11-2004;;;;;;;;;2004
Warm Love;Rhythm and blues;88.5305;203;-12.7;329176;22-10-2007;Folk rock;;;;;;;;2007
Irish Heartbeat;Celtic music;87.6;315;-11.4;329364;13-03-2015;;;;;;;;;2015
Desire;Rhythm and blues;108;179;-9.6;329447;25-03-2009;Heartland rock;;;;;;;;2009
Paint It Black;Psychedelic rock;149;200;-11.5;330484;14-07-2009;Psychedelic music;Latin music (genre);Rhythm and blues;Raga rock;Funk;;;;2009
I Will Follow;Post-punk;148;225;-11.7;330911;02-01-1995;Rock music;;;;;;;;1995
Blow Your House Down;Alternative rock;133;210;-10.2;332286;31-10-2011;;;;;;;;;2011
Angel Eyes (Home And Away);Soft rock;94;312;-17;332783;24-03-1997;;;;;;;;Bmaj;1997
And The Cradle Will Rock...;Hard rock;107;213;-9;333035;18-09-2009;;;;;;;;;2009
Come Back To Me;Pop music;175.9;166;-8.3;334840;01-04-2009;Contemporary R&B;;;;;;;;2009
40;Post-punk;142;226;-12.8;336662;02-01-1995;Rock music;;;;;;;;1995
Gone;Alternative rock;175;266;-10.8;337665;03-03-1997;;;;;;;;;1997
