title;genres;bpm;length;gain;rank;publicationDate;genres_1;genres_2;genres_3;genres_4;genres_5;genres_6;genres_7;key;year
Life;Pop music;136;183;-7.6;248161;17-06-2011;;;;;;;;;2011
The Very Thought Of You;;102;241;-13.7;248232;01-01-1980;;;;;;;;;1980
Gettin' Together;Rock music;139.7;138;-11.2;248354;28-10-2008;;;;;;;;;2008
Tommy James And The Shondells:Gettin' Together;Rock music;139.7;138;-11.2;248354;28-10-2008;;;;;;;;;2008
God Bless The Child;Jazz;129;152;-16.4;249269;04-02-1997;;;;;;;;;1997
Lokka T�ttur;;160;364;-7.8;249561;01-11-2012;;;;;;;;;2012
I'll Never Smile Again;Jazz;122.3;148;-18.8;250277;01-10-2008;;;;;;;;;2008
Kiss Your Mama!;Pop rock;129;188;-6.7;250326;24-05-2008;;;;;;;;Emin;2008
Us Against The World;Pop music;119.8;238;-8.3;250824;02-11-2007;;;;;;;;;2007
Sweet Lorraine;;149;218;-17.2;253897;14-10-1997;;;;;;;;;1997
I Did What I Did For Maria;;123;220;-10.9;255119;26-07-2010;;;;;;;;Gmaj;2010
I Wanna Be Around;;104;130;-18.2;255536;08-07-1993;;;;;;;;;1993
Alibis;Country music;107;182;-16.1;256141;03-12-2007;;;;;;;;Emaj;2007
Mary Did You Know;Contemporary Christian music;110.2;251;-15.1;256540;15-07-1994;Country music;Gospel;;;;;;Amin;1994
When You're Looking Like That;Pop music;140;224;-7.8;256897;29-05-2008;;;;;;;;;2008
She's The Woman;Hard rock;102;176;-5.9;257169;03-02-2012;;;;;;;;;2012
Can't Get This Stuff No More;Hard rock;151;315;-10;258539;24-09-1996;;;;;;;;;1996
Ballerina;Folk rock;136;423;-18.6;258696;01-11-1968;;;;;;;;;1968
Holiday;Dance-pop;106;197;-6.7;259066;06-11-2009;;;;;;;;Bmaj;2009
If You Could Read My Mind (Extended Mix);Dance-pop;123.4;309;-15.8;259073;05-09-2007;Pop-folk;;;;;;;Gmaj;2007
It's Only Love;Rock music;139.2;127;-14;259435;28-10-2008;;;;;;;;;2008
